date	label	text
 2020 Mar 25 07:03:06	2	RT @SinarOnline: Kumpulan penyelidik China menjalankan bedah siasat dan mendapati virus itu tetap berada di paru-paru mangsa walaupun selep…
 2020 Mar 25 07:03:06	0	RT @NumberNullity: In today’s Mandarin class we discussed lockdowns. In China you phone in sick. A team, dressed in PPE, comes to your hous…
 2020 Mar 25 07:03:06	1	"RT @nytimes: It started with 4 cases in Wuhan.

The outbreak grew to nearly 1,000 — maybe several times more — by the end of December.

Chi…"
 2020 Mar 25 07:03:06	2	"📍No hay datos (de China) que muestren causalidad entre⬆️de ECA2 y aumento de mortalidad por COVID19
📍13/3/20: SSCC… https://t.co/1ngcPhvrlC"
 2020 Mar 25 07:03:06	1	"RT @nytimes: It started with 4 cases in Wuhan.

The outbreak grew to nearly 1,000 — maybe several times more — by the end of December.

Chi…"
 2020 Mar 25 07:03:06	0	@verabim280 @avllanaa Kkk o otário pensa que a China está parada, de braços cruzados, só olhando. E, mesmo que tive… https://t.co/OIzLllPuUS
 2020 Mar 25 07:03:06	1	"RT @nxthompson: Here's a good one if you are home-schooling in math! 
The spread of the disease in China proved more logistical than expone…"
 2020 Mar 25 07:03:05	0	RT @alishakaytyler_: China went into lockdown, everyone stayed indoors and today was the first day out of it and they can now walk around f…
 2020 Mar 25 07:03:05	1	"RT @TuCaoFakeNews: 一周前，捷克从中国买了15万套快速试剂盒，很高兴，因为原本需要6小时出结果，现在据说只需要20分钟了；捷克总理还表示，要和中方在疫情防控等方面加强合作；

结果一周后，发现这些made in China的试剂盒准确率只有20%，说明书上肯定…"
 2020 Mar 25 07:03:05	1	"RT @thekaipullai: Unpopular opinion : The Coronavirus has been taken so seriously, only because White guys were affected by it.

If it was…"
 2020 Mar 25 07:03:05	1	@kmugova @China_Amb_Zim @MoHCCZim I just want to dispel the rumours
 2020 Mar 25 07:03:05	0	RT @_sabanaqvi: China where #Corona began did not lockdown entire country and their social net way better than. Without an economic package…
 2020 Mar 25 07:03:05	1	RT @OpIndia_com: Taiwan wrote to WHO on 31st December asking about human-to-human spread, WHO ignored under Chinese pressure: Here is what…
 2020 Mar 25 07:03:05	1	"RT @CasaLettori: #ACasaLettoriLeggo nella biblioteca Yangzhou Zhongshuge, situata a Zhen Yuan, in China. 

@crucant @Bassi10Bassi @crociang…"
 2020 Mar 25 07:03:05	1	@Spaniardo10 @Cece90406552 @danwootton @talkRADIO @EliseDunweber Any country that let's a dog meat festival go ahea… https://t.co/Ow9siBYSzk
 2020 Mar 25 07:03:05	2	"RT @aulmaulidiana: Nih china ternak virus apa gmn ya? Blm kelar corona dah ada lagi hantavirus
Emang sih penyebaran nya ga lewat manusia ke…"
 2020 Mar 25 07:03:05	2	Do we have to borrow 2 trillion dollars from China? Or are they just gonna print more?
 2020 Mar 25 07:03:04	2	"RT @YesThatAnna: So there's a new virus in China called the Hantavirus.

And a dude just died from it.

And the CDC is saying it doesn't tr…"
 2020 Mar 25 07:03:04	0	RT @sallyKP: China is treating COVID with IV Vitamin C. Why aren't we? @foxnews @harrisfaulkner @billhemmer
 2020 Mar 25 07:03:04	1	RT @Voltolino1: @PatriziaRametta @g_occhionero L’OMS era complice https://t.co/LM99Ud2gUD
 2020 Mar 25 07:03:04	2	"Día de cuarentena ya ni se que año es:
Y si demandamos a china? https://t.co/PlXOIaclRn"
 2020 Mar 25 07:03:04	2	"RT @PastorDScott: The Coronavirus is NOT an ""End Time Plague"" from the Book of Revelations. It's a virus from China, plain and simple."
 2020 Mar 25 07:03:04	2	"RT @YesThatAnna: So there's a new virus in China called the Hantavirus.

And a dude just died from it.

And the CDC is saying it doesn't tr…"
 2020 Mar 25 07:03:04	2	"#PMIK_ManOfCrisis
Prime minister says like China, we will also be able to control the coronavirus outbreak.. In Sha… https://t.co/QIWmGOj5vh"
 2020 Mar 25 07:03:04	2	"RT @3lawiChinko: #Hantavirus
China discovered a new virus 

Other countries: https://t.co/gLjSGmAdAN"
 2020 Mar 25 07:03:04	2	"@bernardenriquez @VillaFernando_ @EmbajadaChinaEc NO PUEDES DEMANDARLOS 

China no produjo el virus, se originó all… https://t.co/VsdeHBxPp3"
 2020 Mar 25 07:03:04	0	RT @Havenlust: En China, es ilegal abandonar a tus padres en la vejez. Estás obligado a ir a visitarlos a menudo y comprobar si todo está b…
 2020 Mar 25 07:03:04	2	@sadhavi China has recovered ..... what about rest of the world?
 2020 Mar 25 07:03:03	1	RT @DailyCaller: Josh Hawley Calls For International Investigation Into China Over Alleged Coronavirus Cover-Up. https://t.co/rmfEsoMglq
 2020 Mar 25 07:03:03	0	RT @LucaCostant: Llamamde antiguo, pero que un empresario (Amancio Ortega) tenga que hacer el trabajo del Estado enviando material de China…
 2020 Mar 25 07:03:03	1	"RT @spectatorindex: Most coronavirus deaths.

Italy: 6820
China: 3277
Spain: 2808
Iran: 1934
France: 1100
US: 685
UK: 422
Netherlands: 277…"
 2020 Mar 25 07:03:03	1	"RT @akoz33: The Czech Republic received 150,000 coronavirus test kits from China. About 80% of the tests give false results.
Athens Czechs…"
 2020 Mar 25 07:03:03	1	RT @Reytorre: Italia es de europa uno de los países más xenófobos, y extrema derecha, en este momento difícil no son los gringos quienes le…
 2020 Mar 25 07:03:02	2	"Sab log china valo ko bad-dua dena shuru kro🤪.

Chinawalo tumareh muh me sabjiya girre aur tum log jain bann jao.🙌… https://t.co/e64zdfzshK"
 2020 Mar 25 07:03:02	2	@DaveW1946 @cash4questions2 It hasn't worked in China, for my sources out there tell me their data has been massive… https://t.co/XYI1ranfSj
 2020 Mar 25 07:03:02	2	"RT @Hilmi28: Jangan sebut ini virus China, nanti ada yg marah lagi...

https://t.co/lMjxSTjwpS"
 2020 Mar 25 07:03:02	0	RT @dhananjaybkhare: The fake China curve. #MakeChinaPay #chinavirus #ChineseVirusCorona https://t.co/ckffFce2Tc
 2020 Mar 25 07:03:02	1	"RT @MajorPoonia: Should we trust China ANYMORE after #CoronaVirus pandemic ?
Plz vote &amp; help me with 1 Lakh Retweets 👏"
 2020 Mar 25 07:03:02	1	RT @republikaonline: China disebut menahan informasi yang dibutuhkan dunia untuk mencegah corona berlanjut https://t.co/Fhz5B1dS6s
 2020 Mar 25 07:03:02	2	"RT @News24: A man in China died from hantavirus and the news has caused some alarm - but what is this virus? | @Health24com 

https://t.co/…"
 2020 Mar 25 07:03:02	1	"RT @KamalaHarris: The U.S. surpassed 50,000 confirmed coronavirus cases today.

We’re on track to pass Italy and China within a week.

Lead…"
 2020 Mar 25 07:03:02	1	RT @NonnelRref: @RogerioZafalao @UOL Agora, priorizar os lucros diante de perdas humanas é absurdo, mesquinho e acima de tudo é idiota. A C…
 2020 Mar 25 07:03:02	2	"@_ShoutoFireIce @_DVX__ Abrindo o cu pra China como ele tá fazendo?
Duvido muito..."
 2020 Mar 25 07:03:02	0	RT @imsyedsyafiq: hmm what else china
 2020 Mar 25 07:03:02	1	"RT @JoshBBornstein: 16. Let’s attack China- P Hanson
17. A cyber attack  made me dishonest &amp; incompetent- Stuart Robert
18. Never trust the…"
